"cell_chembl_id","cell_description","cell_id","cell_name","cell_source_organism","cell_source_tax_id","cell_source_tissue","cellosaurus_id","cl_lincs_id","clo_id","efo_id"
"CHEMBL3307714","Bladder carcinoma cells","720","Bladder carcinoma cells","Homo sapiens","9606","Bladder carcinoma cells","","","",""
"CHEMBL3308372","HCT-116 (Colon carcinoma cells)","721","HCT-116","Homo sapiens","9606","Colon carcinoma cells","CVCL_0291","","CLO_0003665","EFO_0002824"
"CHEMBL3307715","HEK293 (Embryonic kidney fibroblasts)","722","HEK293","Homo sapiens","9606","Embryonic kidney fibroblasts","CVCL_0045","","CLO_0001230","EFO_0001182"
"CHEMBL3307716","NIH3T3 (Fibroblasts)","723","NIH3T3","Mus musculus","10090","Fibroblasts","CVCL_0594","","CLO_0009227","EFO_0001222"
"CHEMBL3308506","HT1197 (Bladder carcinoma cells)","725","HT1197","Homo sapiens","9606","Bladder carcinoma cells","CVCL_1291","LCL-1713","CLO_0004278","EFO_0002202"
"CHEMBL3307718","HepG2 (Hepatoblastoma cells)","726","HepG2","Homo sapiens","9606","Hepatoblastoma cells","CVCL_0027","LCL-1925","CLO_0003713","EFO_0001187"
"CHEMBL3307719","Leukemia cells","727","Leukemia cells","Homo sapiens","9606","Leukemia cells","","","",""
"CHEMBL3307720","Prostate cells","728","Prostate cells","Homo sapiens","9606","Prostate cells","","","",""
"CHEMBL3308428","Renal carcinoma cells","729","Renal carcinoma cells","Homo sapiens","9606","Renal carcinoma cells","","","",""
"CHEMBL3307721","SF-539 (Glioblastoma cells)","730","SF-539","Homo sapiens","9606","Glioblastoma cells","CVCL_1691","","","EFO_0005453"
"CHEMBL3307722","FEPD (Anaplastic lymphoma cells)","731","FEPD","Homo sapiens","9606","Anaplastic lymphoma cells","CVCL_H614","","",""
"CHEMBL3307723","MC9 (Mast cells)","732","MC9","Mus musculus","10090","Mast cells","","","",""
"CHEMBL3307724","SVR (Endothelial cells)","733","SVR","Mus musculus","10090","Endothelial cells","CVCL_6455","","CLO_0009178",""
"CHEMBL3307725","Spermatozoa","734","Spermatozoa","","","Spermatozoa","","","",""
